       logs | GIT_COMMIT=4b5d7ecfd1087f22002bc63658dc5ad3fe30927f GIT_BRANCH=master GIT_TAG=untagged GIT_TREE_STATE=dirty RELEASE_TAG=false DEV_BRANCH=false VERSION=latest
       logs | KUBECTX=docker-desktop DOCKER_DESKTOP=true K3D=false DOCKER_PUSH=false
       logs | RUN_MODE=local PROFILE=minimal AUTH_MODE=hybrid SECURE=false STATIC_FILES=true ALWAYS_OFFLOAD_NODE_STATUS=false UPPERIO_DB_DEBUG=0 LOG_LEVEL=debug NAMESPACED=true
 controller | time="2021-09-11T20:51:45+05:30" level=info msg="index config" indexWorkflowSemaphoreKeys=true
 controller | time="2021-09-11T20:51:45+05:30" level=info msg="cron config" cronSyncPeriod=10s
 controller | time="2021-09-11T20:51:45.357Z" level=info msg="not enabling pprof debug endpoints"
 controller | time="2021-09-11T20:51:45.361Z" level=info msg="config map" name=workflow-controller-configmap
argo-server | time="2021-09-11T20:51:45.366Z" level=debug msg="CLI version" version="{latest+4b5d7ec.dirty 2021-09-11T15:02:45Z 4b5d7ecfd1087f22002bc63658dc5ad3fe30927f untagged dirty go1.15.4 gc darwin/amd64}"
argo-server | time="2021-09-11T20:51:45.366Z" level=info msg="not enabling pprof debug endpoints"
argo-server | time="2021-09-11T20:51:45.370Z" level=info authModes="[hybrid]" baseHRef=/ managedNamespace=argo namespace=argo secure=false
argo-server | time="2021-09-11T20:51:45.370Z" level=warning msg="You are running in insecure mode. Learn how to enable transport layer security: https://argoproj.github.io/argo-workflows/tls/"
argo-server | time="2021-09-11T20:51:45.370Z" level=info msg="config map" name=workflow-controller-configmap
argo-server | time="2021-09-11T20:51:45.370Z" level=info msg="SSO disabled"
 controller | time="2021-09-11T20:51:45.383Z" level=info msg="Get configmaps 200"
